Year,GDP
1962,605.1
1963,638.6
1964,685.8
1965,743.7
1966,815
1967,861.7
1968,942.5
1969,1019.9
1970,1075.9
1971,1167.8
1972,1282.4
1973,1428.5
1974,1548.8
1975,1688.9
1976,1877.6
1977,2086
1978,2356.6
1979,2632.1
1980,2862.5
1981,3211
1982,3345
1983,3638.1
1984,4040.7
1985,4346.7
1986,4590.2
1987,4870.2
1988,5252.6
1989,5657.7
1990,5979.6
1991,6174
1992,6539.3
1993,6878.7
1994,7308.8
1995,7664.1
1996,8100.2
1997,8608.5
1998,9089.2
1999,9660.6
2000,10284.8
2001,10621.8
2002,10977.5
2003,11510.7
2004,12274.9
2005,13093.7
2006,13855.9
2007,14477.6
2008,14718.6
2009,14418.7
2010,14964.4
2011,15079.6
2012,15601.5
2013,16202.7
2014,17011.4
2015,17936.1
2016,18934.2
2017,19980
2018,21024.8
2019,21539.9
2020,22476.4